Video_ID,Author,Published At,Comment,cleaned_comment
yDfOFd8V8os,@SaidKevin,2025-03-20T19:31:35Z,Sudah saat nya revolusi besar..negara ini hanya untuk penguasa dan antek-anteknya,sudah nya revolusi besarnegara kuasa antekanteknya
yDfOFd8V8os,@SantunvictorSimamora,2025-03-20T13:08:08Z,Ujang sayang mahasiswa?... Itu hny dibibir....,ujang sayang mahasiswa itu hny bibir
yDfOFd8V8os,@budimankoto1561,2025-03-18T05:30:39Z,Pemimpin Indonesia untuk siapa?,pimpin indonesia
yDfOFd8V8os,@andikakurniawan4063,2025-03-16T13:22:32Z,Bubarkan DPR dan PDI,bubar dpr pdi
yDfOFd8V8os,@GiminSyarifudin,2025-03-16T08:23:00Z,"Lha wong mahasiswa kok cuma bikin huru hara. Emang elu2 itu hai mahasewa bisa miimpin negeri ini. Sok sok&#39;an elu elu itu, sok pinter padahal elu elu cuma sewaan dari parpol licik.",lha mahasiswa bikin huru hara emang elu2 hai mahasewa miimpin negeri sok sok elu elu sok pinter elu elu sewa parpol licik
yDfOFd8V8os,@endangw337,2025-03-15T02:04:50Z,Betul....<br>Indonesia gelap...<br>Karena satu orang...<br>Si...<br>Sen kiri belok kanan....<br>........<br>IBU PERTIWI SEDANG BERSUSAH HATI<br>SEMOGA....<br>BADAI CEPAT BERLALU...,betulbrindonesia gelapbrkarena orangbrsibrsen kiri belok kananbrbribu pertiwi sedang susah hatibrsemogabrbadai cepat lalu
yDfOFd8V8os,@irfanzamzami5512,2025-03-14T12:32:00Z,Iya lah 10 negara kacou rakyat tercekik ngomong dikit d tangkap trus dikit2 pajak naik trus lapangan kerja mana yg d atas berlomba2 korupsi duat negara apa ada yg tuntas kasusnya ga ada yg kecil Yuri pisang aja karna lapar cepat kasusnya pokonya 10 parah deh,iya 10 negara kacou rakyat cekik ngomong dikit d tangkap trus dikit2 pajak trus lapang kerja d berlomba2 korupsi duat negara tuntas kasus yuri pisang aja karna lapar cepat kasus poko 10 parah deh
yDfOFd8V8os,@ParsiminSjp,2025-03-10T09:08:36Z,Ya allah berilah azab para koruptor di negara hamba ini aamiiin,ya allah ilah azab koruptor negara hamba aamiiin
yDfOFd8V8os,@StyawanLim,2025-03-10T07:40:57Z,Waspadai ormas .....Hercules dipanggil ke istana......,waspada ormas hercules panggil istana
yDfOFd8V8os,@SutiyonoSawangan,2025-03-09T11:22:31Z,Gelap...pura2 teraang...,gelappura2 teraang
yDfOFd8V8os,@tubaguswijantoro4451,2025-03-08T15:38:46Z,"Ternyata mulyono kelihatan sekali kagak cerdasnya,.... Dibilang gk ada yg berani kritik Prabowo..... Lho kenyataannya justru sebaliknya ( mhs dimana mana pada demo )...  😂😂🎉",nyata mulyono kagak cerdas bilang gk berani kritik prabowo lho nyata mhs mana demo
yDfOFd8V8os,@wiwiksiswahyuni5016,2025-03-07T04:18:54Z,Habis gelap terbitlah terang.,habis gelap terbit terang
yDfOFd8V8os,@OmKemis,2025-03-04T08:48:55Z,Di mana suara mahasiswa siswi indonesia untuk infonesia gelap.  😂,di suara mahasiswa siswi indonesia infonesia gelap
