cleaned_comment,translate
"sudah nya revolusi besarnegara kuasa antekanteknya","terjemahkan id ke en: sudah nya revolusi besarnegara kuasa antekanteknya"
"ujang sayang mahasiswa itu hny bibir","terjemahkan id ke en: ujangkankankan id ke en:"
"pimpin indonesia",""
"bubar dpr pdi","terjemahkan id ke en: terjemahkan id ke en:kan id ke"
"lha mahasiswa bikin huru hara emang elu2 hai mahasewa miimpin negeri sok sok elu elu sok pinter elu elu sewa parpol licik","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"betulbrindonesia gelapbrkarena orangbrsibrsen kiri belok kananbrbribu pertiwi sedang susah hatibrsemogabrbadai cepat lalu","id ke en: betulkan id ke en: betulkan id ke en: betul"
"iya 10 negara kacou rakyat cekik ngomong dikit d tangkap trus dikit2 pajak trus lapang kerja d berlomba2 korupsi duat negara tuntas kasus yuri pisang aja karna lapar cepat kasus poko 10 parah deh","id ke en: iya 10 negara kacoukan id ke en: iya"
"ya allah ilah azab koruptor negara hamba aamiiin","terjemahkan id ke en: ya allah allah allah allah allah "
"waspada ormas hercules panggil istana","ke en: waspada ke en: waspada ke en: waspada ke en: waspada"
"gelappura2 teraang","terjemahkan id ke en:  terjemahkan id ke en: terjemah"
"nyata mulyono kagak cerdas bilang gk berani kritik prabowo lho nyata mhs mana demo","terjemahkan id ke en: nyata mulyonokan id ke en: nyata "
"habis gelap terbit terang","terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang terang"
"di suara mahasiswa siswi indonesia infonesia gelap","jakarta jakarta jakarta jakarta jakarta jakarta jakarta jakarta jakarta"
"indonesia gelap nepotisme korupsi betapa sulit cari kerja mahasiswa nya","terjemahkan id ke en: indonesia gelap nepotisme korupsi  indonesia gelap nepot"
"yg jelas2 korupsi bebas korupsi tangkap utk korban lindung boznya","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"gw tau 77 komen asli bnrn gacir"," terjemahkan id ke en: terjemahkan id ke en: "
"adil jokowi prabowo fufufafabrdan keluarga jokowi","jokowi jokowi jokowi jokowi jokowi  jo"
"indonesia bukan milik rakyat lagi udah jadi milik kelompok atau segolonganoknum quotquotquot selamat kan negara ini para patriotik dan cendikiawan sejati","quotquotquotquot quot   "
"ya buntat mulyono nya yalahkan orang","nya nya nya nya terjemahkan id ke en: ya"
"akibat mulyono","mulyono mulyono mulyono mulyono mulyono mulyo"
"mahasiswa demo suruh sah uud ampas aset brjangan demo bayar","demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo demo"
"tahu tempe","tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe tempe"
"apabila prabowo hasil turun dr jabat presidenmaka senang jokowi si fufufafa moral ganti prabowo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"icelah asig","aig aig aig aig aig "
"di perintah jokowi jabat korupsi hukum ambrub","terjemahkan id ke en: di perintah jokowi jabat korupsi hukum ambrub"
"mesti tuntut mahasiswa kesah undang2 ampas aset kelurga koruptor","terjemahkan id ke en: mesti tuntut mahasiswa kesah undang2 ampas"
"kasihangak gubris","terjemahkan id ke en: kasihangak gubris terjemahkan id ke en"
"maha sewa","sewa terjemahkan id ke en: maha sewa sewa terjemahkan id ke en: maha"
"mahat41 loe","aja :)) :)  :)kan"
"ini salah lemah pikir mahasiswayg menyikapin kebenarannyasaran pilar2 bangsa mahasiswawi mudah propokasioleh oknum2","2 mahasiswa2 mahasiswa mahasiswa2 mahasiswa2 mahasiswa2 mahasiswa mahasiswa"
"maju terus bela benar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"bedul syarwi","a. a. a. a. a. a. "
"ngeles aja ngeles aja bisa","aja bisa ngeles aja bisa aja bisa ngeles a"
"jika indonesia maju biaya didik mahal 9 bahan pokok mahal cipta lapang kerja gaji hukum berat laku korupsi preman begal insaallah rakyat indonesia sabang merauke hidup sejahtera aman","indonesia indonesia terjemahkan id ke en:kan id ke en:kan id"
"indonesia darurat korupsi",""
"yg bikin gelap iblis bos","ane aja boss.....: terjemahkan"
"hmmmm gelap tau klau pimpin amanah adil harap doa moga moga","moga moga moga moga moga moga moga moga moga mo"
"hidup tragedi 98","98 terjemahkan id ke en: hidup tragedi 98 98 terjemahkan id ke en"
"terus kendor demo gedung dpr mpr","terjemahkan id ke en:kan id ke en:kan id ke en:"
"tanya jokowi barangkali jokowi kenal mahasiswa jokowi jabat ramai demonstrasi maha siswa bayar","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"paraah broo","broooooooooooooooooooooooooooooooo"
"ingat danatra ketua jokowi bentuk prabowo","terjemahkan id ke en: terjemahkan id ke en: terjemahkan id"
"yaaa bpk gatauu masihada mangkas pk"," terjemahkan id ke en: terjemahkan id ke en: "
"prabowo ambil bijak bantu orang sekolah gratis mbg sih orangorang jokowi potong gaji pemimpinpejabat isi orang2 usaha tunjang rakyat","terjemahkan id ke en: prabowo terjemahkan id ke en: pra"
"awas musuh dlam slimutwspadai trik tkang kbul spaya presiden lngser ganti dngan anak yng hobi nonton bkep","kan id ke en:kan id ke en:kan id ke en:kan"
"sok pinter ngomong bukti bangsa koar koar koar aja","aja sih aja sih aja aja"
"kau gelap hidup usaha ngandal perintah","terjemahkan id ke en: kau gelap hidup usaha ngandal perintah perintah perintah perintah perintah"
"makan gizi gratis","terjemahkan id ke en: makan gizi gratis gratis terjemahkan id ke en:"
"moga mahasiswa lindung allah amiin","amin.............."
"siyapa si perintah sempurna nga cocok demo semaujidatnya aja","terjemahkan id ke en: siyapa siyapa siyapa siyapa"
"yang gelap hut belantara indonesia sinar terang maju makmur sejahtera","terjemahkan id ke en: yang gelap makmur sejahtera sejahtera makmur sejahtera sejahtera makmur"
"yang hut belantarbrkalau indonesia sinar terang maju makmur","aja kan? aja kan aja "
"sudah revolusi","terjemahkan id ke en: sudah revolusi: sudah revolusikan id ke en:"
"mungkin mahasiswa demo pesananx dukung kokowi","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ai sisuwa kau demo dpr suruh ngesahkan uu ampas aset dukung 1000 persen","aja kan?kan aja kan?kankan "
"pak presiden baik rakyat sehat presiden baik umur amiiinnn ya allaah matursuwun"," terjemahkan id ke en: terjemahkan id ke en: en"
"cuaksssss tv gw ludahin liat mukidi","tv gw ludahin liat mukidi tv tv "
"ujung jokowi disalahkanyg tigaratus triliun hehe"," terjemahkan id ke en: terjemahkan id ke en: "
"ya allah ilah kuat menang unjuk wakil rakyat indonesia dhalimi perintah wasallallahu ala syaidina muhammadin wa ala alih wadabbihi wadallam aamiin","terjemahkan id ke en: terjemahkan id ke en: terjemahkan"
"ingat kataquot wowo klu tahan koalisi jkw p lg elu elu nya tunggu z mahasiswa pasty henti demo sampe wowo lengser jgn takut tinggal jkw rakyat pasty bela mu","terjemahkan id ke en:kan id ke en:kan id ke en:"
"tunggu aja 1thn kt tengok","terjemahkan id ke en:kan id ke en:kan id ke en:"
"petinggi partai jaring kulit goreng dan ancam runtuhbahayabahayabrpanik senggol","terjemahkan id ke en: petinggi partai terjemahkan id ke en: petinggi partai"
"emang gelap",""
